0107	0200	0	26.332	0.71310225
0107	0300	0	26.239	0.706148981
0107	0400	0	26.15	0.679906049
0107	0500	0	26.059	0.688456248
0107	0600	0.147	27.577	0.764616962
0107	0700	0.547	30.092	0.90748112
0107	0800	1.122	32.986	1.032691924
0107	0900	1.619	34.714	1.133487441
0107	1000	1.985	36.07	1.228462853
0107	1100	2.206	37.14	1.335479508
0107	1200	2.294	37.906	1.481796945
0107	1300	2.047	37.906	1.602239715
0107	1400	1.434	36.981	1.755591041
0107	1500	1.047	36.031	1.833164056
0107	1600	0.753	35.12	1.811326195
0107	1700	0.453	33.852	1.854287963
0107	1800	0.269	32.421	1.695138699
0107	1900	0.038	30.679	1.478763552
0107	2000	0	29.289	1.332590309
0107	2100	0	28.785	1.155501221
0107	2200	0	28.24	0.926258958
0107	2300	0	27.461	0.751704682
0108	0000	0	26.386	0.727373629
0108	0100	0	25.366	0.595496711
0108	0200	0	24.659	0.633005656
0108	0300	0	24.027	0.627334524
0108	0400	0	23.487	0.597841408
0108	0500	0	23.316	0.627190292
0108	0600	0.089	24.035	0.686791624
0108	0700	0.445	25.304	0.731369852
0108	0800	0.782	26.837	0.75430331
0108	0900	0.586	26.58	0.765521625
0108	1000	0.623	26.02	0.776076036
0108	1100	0.733	25.612	0.691600864
0108	1200	0.76	25.194	0.657231484
0108	1300	0.763	25.067	0.723284636
0108	1400	0.673	25.119	0.699224114
0108	1500	0.536	24.991	0.720339243
0108	1600	0.401	24.677	0.806263147
0108	1700	0.259	24.167	0.904326514
0108	1800	0.147	23.57	0.948863523
0108	1900	0.018	22.811	0.956882598
0108	2000	0	22.012	0.921918633
0108	2100	0	21.3	0.785954037
0108	2200	0	20.66	0.602392588
0108	2300	0	20.142	0.460901701
0109	0000	0	19.701	0.481301765
0109	0100	0	19.283	0.405813675
0109	0200	0	18.874	0.457896261
0109	0300	0	18.552	0.430853151
0109	0400	0	18.317	0.433418904
0109	0500	0	18.095	0.466851351
0109	0600	0.139	18.302	0.512944647
0109	0700	0.459	19.046	0.571595475
0109	0800	0.844	20.152	0.582334074
0109	0900	1.192	21.549	0.543714811
0109	1000	1.451	22.96	0.531497455
0109	1100	1.63	24.066	0.528446735
0109	1200	1.712	24.589	0.553764896
0109	1300	1.624	24.393	0.558492434
0109	1400	1.423	23.561	0.544101059
0109	1500	1.175	22.368	0.578239636
0109	1600	0.738	20.763	0.642654217
0109	1700	0.436	19.134	0.714555062
0109	1800	0.177	17.757	0.721337163
0109	1900	0.015	16.808	0.687219921
0109	2000	0	16.415	0.651709694
0109	2100	0	16.344	0.536743909
0109	2200	0	16.326	0.417080346
0109	2300	0	16.305	0.285298954
0110	0000	0	16.297	0.362440289
0110	0100	0	16.24	0.296006531
0110	0200	0	16.131	0.330320907
0110	0300	0	15.957	0.352129055
0110	0400	0	15.732	0.364223427
0110	0500	0	15.481	0.388978921
0110	0600	0.099	15.549	0.439710306
0110	0700	0.349	15.995	0.493941153
0110	0800	0.637	16.766	0.523760317
0110	0900	0.855	17.726	0.536097708
0110	1000	1.063	18.796	0.530656424
0110	1100	1.272	19.952	0.467591243
0110	1200	1.336	20.969	0.456449969
0110	1300	1.331	21.63	0.381893243
0110	1400	1.027	21.648	0.377538086
0110	1500	0.758	21.512	0.440728684
0110	1600	0.524	21.323	0.527958509
0110	1700	0.392	21.153	0.596017861
0110	1800	0.224	20.726	0.637014114
0110	1900	0.027	19.806	0.674352658
0110	2000	0	18.843	0.641538763
0110	2100	0	18.35	0.548843816
0110	2200	0	17.958	0.417268992
0110	2300	0	17.655	0.290932166
0111	0000	0	17.495	0.363804001
0111	0100	0	17.488	0.289420198
0111	0200	0	17.344	0.343213217
0111	0300	0	17.097	0.34727407
0111	0400	0	16.794	0.350935847
0111	0500	0	16.48	0.391442547
0111	0600	0.171	16.797	0.424430984
0111	0700	0.563	17.95	0.431542045
0111	0800	1.064	19.597	0.419281685
0111	0900	1.454	21.361	0.360615314
0111	1000	1.605	22.897	0.337368664
0111	1100	2.07	24.659	0.250503143
0111	1200	2.111	25.992	0.252097464
0111	1300	2.021	26.999	0.217454153
0111	1400	1.838	27.615	0.233840102
0111	1500	1.436	27.656	0.351758541
0111	1600	1.179	27.574	0.501404447
0111	1700	0.834	27.285	0.673856033
0111	1800	0.357	26.473	0.796729635
0111	1900	0.052	24.246	0.805994324
0111	2000	0	22.247	0.764882978
0111	2100	0	21.202	0.645870389
0111	2200	0	20.531	0.505380547
0111	2300	0	20.041	0.346691543
0112	0000	0	19.698	0.427670463
0112	0100	0	19.596	0.361990811
0112	0200	0	19.64	0.378668451
0112	0300	0	19.71	0.402976299
0112	0400	0	19.776	0.410854314
0112	0500	0	19.895	0.455802648
0112	0600	0.156	21.086	0.49753041
